url,description,title,0,0.1,0.2,0
https://www.collinsdictionary.com/dictionary/english/hi,,,,,,
https://www.britannica.com/dictionary/HI,HI meaning: Hawaii,• <b><a href='https://www.britannica.com/dictionary/HI' target='_blank'>HI Definition & Meaning | Britannica Dictionary</a></b>,,,,
https://www.merriam-webster.com/dictionary/hi,The meaning of HI is —used especially as a greeting. How to use hi in a sentence.,• <b><a href='https://www.merriam-webster.com/dictionary/hi' target='_blank'>Hi Definition & Meaning - Merriam-Webster</a></b>,,,,
https://dictionary.cambridge.org/dictionary/english/hi,,,,,,
https://www.yourdictionary.com/hi,Hi definition: Used to express greeting.,• <b><a href='https://www.yourdictionary.com/hi' target='_blank'>Hi Definition & Meaning | YourDictionary</a></b>,,,,
https://www.ldoceonline.com/dictionary/hi,,,,,,
https://www.vocabulary.com/dictionary/hi,,,,,,
https://www.oxfordlearnersdictionaries.com/definition/english/hi,,,,,,
https://en.wiktionary.org/wiki/hi,,"• <b><a href='https://en.wiktionary.org/wiki/hi' target='_blank'>hi - Wiktionary, the free dictionary</a></b>",,,,
https://www.dictionary.com/browse/hi,Hi definition: (used as an exclamation of greeting) hello!. See examples of HI used in a sentence.,• <b><a href='https://www.dictionary.com/browse/hi' target='_blank'>HI Definition & Meaning | Dictionary.com</a></b>,,,,
https://en.wikipedia.org/wiki/HI,,• <b><a href='https://en.wikipedia.org/wiki/HI' target='_blank'>HI - Wikipedia</a></b>,,,,
,,,,,,
